Note: Cost of energy is $1 for every 1500 MW used
Timestamp,Energy Consumption (MW),Estimated Energy Cost ($)
2024-06-12 18:19:56,2453.0,1.64
2024-06-12 18:20:01,2419.0,1.61
2024-06-12 18:20:06,2391.0,1.59
2024-06-12 18:20:11,2334.0,1.56
2024-06-12 18:20:16,2287.0,1.52
2024-06-12 18:20:21,2291.0,1.53
2024-06-12 18:20:26,2476.0,1.65
2024-06-12 18:20:31,2562.0,1.71
2024-06-12 18:20:36,2536.0,1.69
2024-06-12 18:20:41,2508.0,1.67
2024-06-12 18:20:46,2443.0,1.63
2024-06-12 18:20:51,2311.0,1.54
2024-06-12 18:20:56,2136.0,1.42
2024-06-12 18:21:01,2332.0,1.55
2024-06-12 18:21:06,2290.0,1.53
2024-06-12 18:21:11,2285.0,1.52
2024-06-12 18:21:16,2309.0,1.54
2024-06-12 18:21:21,2357.0,1.57
2024-06-12 18:21:26,2512.0,1.67
2024-06-12 18:21:31,2722.0,1.81
2024-06-12 18:35:13,1596.0,1.06
2024-06-12 18:35:18,1517.0,1.01
2024-06-12 18:35:23,1486.0,0.99
2024-06-12 18:35:28,1469.0,0.98
2024-06-12 18:35:33,1472.0,0.98
2024-06-12 18:35:38,1518.0,1.01
